round,maintained_units,avg_risk,avg_survival_prob
1,"[248, 261, 270, 275]",0.0,1.0
2,"[253, 263, 269, 272]",0.25,0.75
3,"[251, 260, 277, 278]",0.25,0.75
4,"[261, 266, 271, 279]",0.2,0.8
5,"[248, 253, 269, 270]",0.15,0.85
6,"[249, 263, 275, 278]",0.25,0.75
7,"[257, 261, 265, 277]",0.25,0.75
8,"[253, 269, 272, 280]",0.25,0.75
9,"[251, 266, 271, 278]",0.3,0.7
10,"[248, 249, 261, 263]",0.15,0.85
11,"[257, 269, 275, 277]",0.35,0.65
12,"[248, 255, 266, 278]",0.1,0.9
13,"[248, 261, 270, 275]",0.1,0.9
14,"[249, 253, 265, 272]",0.4,0.6
15,"[251, 255, 257, 277]",0.3,0.7
16,"[248, 261, 266, 270]",0.1,0.9
17,"[248, 253, 266, 269]",0.1,0.9
18,"[263, 275, 278, 279]",0.3,0.7
19,"[257, 261, 271, 277]",0.3,0.7
20,"[253, 269, 272, 280]",0.25,0.75
21,"[251, 265, 266, 278]",0.25,0.75
22,"[248, 261, 263, 266]",0.1,0.9
23,"[257, 269, 275, 277]",0.35,0.65
24,"[249, 255, 271, 278]",0.25,0.75
25,"[248, 261, 270, 279]",0.1,0.9
26,"[263, 269, 272, 280]",0.3,0.7
27,"[251, 255, 257, 277]",0.35,0.65
28,"[249, 261, 265, 275]",0.2,0.8
29,"[253, 269, 270, 271]",0.2,0.8
30,"[248, 255, 263, 278]",0.15,0.85
31,"[257, 261, 266, 277]",0.25,0.75
32,"[253, 269, 272, 280]",0.3,0.7
33,"[249, 251, 275, 278]",0.3,0.7
34,"[261, 263, 266, 271]",0.15,0.85
35,"[257, 265, 269, 277]",0.3,0.7
36,"[248, 255, 266, 278]",0.1,0.9
37,"[248, 249, 261, 270]",0.15,0.85
38,"[263, 272, 275, 280]",0.3,0.7
39,"[255, 257, 271, 277]",0.4,0.6
40,"[248, 261, 266, 270]",0.1,0.9
