round,maintained_units,avg_risk,avg_survival_prob
1,"[261, 265, 272, 278]",0.00012795248191965758,0.9998720475180803
2,"[255, 260, 264, 267]",0.24819906705146444,0.7518009329485356
3,"[252, 253, 269, 273]",0.21520346575674204,0.7847965342432579
4,"[248, 256, 261, 278]",0.2500258156616327,0.7499741843383674
5,"[243, 255, 267, 276]",0.24327045578770687,0.7567295442122931
6,"[246, 260, 264, 270]",0.30397316759492277,0.6960268324050773
7,"[252, 261, 272, 278]",0.20171818218030743,0.7982818178196925
8,"[255, 256, 265, 267]",0.19718273434478956,0.8028172656552105
9,"[253, 269, 274, 278]",0.14903860162873048,0.8509613983712695
10,"[260, 264, 270, 273]",0.30502851383922985,0.6949714861607701
11,"[252, 255, 267, 279]",0.14994851365873724,0.8500514863412627
12,"[246, 256, 269, 278]",0.24887361481572517,0.7511263851842748
13,"[248, 260, 261, 272]",0.15009257673522777,0.8499074232647722
14,"[255, 264, 270, 274]",0.29739079262163204,0.702609207378368
15,"[243, 252, 265, 278]",0.2988293535210953,0.7011706464789047
16,"[256, 260, 261, 273]",0.10013592028550407,0.899864079714496
17,"[255, 267, 278, 279]",0.09995046140180194,0.9000495385981981
18,"[246, 264, 269, 270]",0.2538857997589222,0.7461142002410778
19,"[252, 261, 272, 274]",0.2001774901279477,0.7998225098720524
20,"[255, 256, 260, 278]",0.29717317881451,0.70282682118549
21,"[253, 265, 269, 270]",0.10052534872549974,0.8994746512745003
22,"[248, 252, 261, 264]",0.15517974217251776,0.8448202578274822
23,"[255, 267, 273, 278]",0.2433422235415852,0.7566577764584148
24,"[256, 260, 274, 279]",0.34887537818284114,0.6511246218171589
25,"[243, 261, 270, 272]",0.2051242130131988,0.7948757869868012
26,"[252, 255, 264, 278]",0.24717393111136757,0.7528260688886325
27,"[253, 260, 265, 269]",0.1005786653258119,0.8994213346741882
28,"[255, 256, 261, 278]",0.10013213185070524,0.8998678681492948
29,"[252, 267, 270, 274]",0.15223292949436967,0.8477670705056303
30,"[243, 246, 264, 273]",0.3017279375115044,0.6982720624884956
31,"[255, 272, 278, 279]",0.35000067737054125,0.6499993226294588
32,"[252, 256, 267, 276]",0.14560522587424027,0.8543947741257597
33,"[253, 265, 269, 270]",0.15065147861949132,0.8493485213805088
34,"[255, 264, 274, 278]",0.25005609368146803,0.7499439063185319
35,"[243, 252, 260, 267]",0.15217804304021026,0.8478219569597897
36,"[246, 253, 256, 269]",0.19905088802877682,0.8009491119712232
37,"[255, 272, 273, 278]",0.3026782596637636,0.6973217403362364
38,"[252, 264, 267, 279]",0.1522430335178167,0.8477569664821832
39,"[253, 260, 269, 274]",0.20064414412944714,0.7993558558705528
40,"[255, 256, 265, 278]",0.35000185685916174,0.6499981431408383
