round,maintained_units,avg_risk,avg_survival_prob
1,"[262, 267, 271, 276]",0.0,1.0
2,"[242, 257, 275, 279]",0.3,0.7
3,"[251, 252, 268, 278]",0.25,0.75
4,"[250, 260, 271, 276]",0.15,0.85
5,"[241, 257, 263, 279]",0.25,0.75
6,"[245, 251, 268, 275]",0.35,0.65
7,"[242, 267, 271, 278]",0.2,0.8
8,"[250, 252, 257, 279]",0.25,0.75
9,"[251, 260, 268, 274]",0.2,0.8
10,"[241, 245, 271, 275]",0.25,0.75
11,"[257, 263, 278, 279]",0.2,0.8
12,"[242, 251, 268, 274]",0.25,0.75
13,"[252, 267, 271, 276]",0.15,0.85
14,"[257, 260, 275, 279]",0.3,0.7
15,"[251, 254, 268, 278]",0.35,0.65
16,"[241, 250, 271, 276]",0.1,0.9
17,"[242, 257, 263, 279]",0.2,0.8
18,"[251, 252, 268, 275]",0.35,0.65
19,"[260, 267, 271, 278]",0.2,0.8
20,"[241, 250, 257, 279]",0.15,0.85
21,"[241, 251, 268, 274]",0.15,0.85
22,"[242, 245, 271, 275]",0.3,0.7
23,"[252, 257, 263, 279]",0.25,0.75
24,"[251, 254, 260, 268]",0.3,0.7
25,"[262, 267, 271, 276]",0.1,0.9
26,"[241, 257, 275, 279]",0.3,0.7
27,"[242, 251, 268, 278]",0.25,0.75
28,"[250, 252, 271, 276]",0.15,0.85
29,"[257, 260, 263, 279]",0.2,0.8
30,"[245, 251, 268, 275]",0.3,0.7
31,"[241, 267, 271, 278]",0.2,0.8
32,"[242, 250, 257, 279]",0.25,0.75
33,"[251, 252, 268, 274]",0.25,0.75
34,"[245, 260, 271, 275]",0.25,0.75
35,"[257, 263, 278, 279]",0.2,0.8
36,"[241, 251, 268, 274]",0.25,0.75
37,"[242, 267, 271, 276]",0.15,0.85
38,"[252, 257, 275, 279]",0.3,0.7
39,"[251, 260, 268, 278]",0.3,0.7
40,"[241, 250, 271, 276]",0.1,0.9
