round,maintained_units,avg_risk,avg_survival_prob
1,"[247, 252, 265, 278]",0.02124372514796835,0.9787562748520318
2,"[248, 250, 260, 275]",0.11886686786105707,0.881133132138943
3,"[241, 245, 256, 257]",0.10305388024472628,0.8969461197552737
4,"[259, 268, 274, 278]",0.25216367424224556,0.7478363257577545
5,"[247, 250, 252, 273]",0.15052938785462222,0.8494706121453778
6,"[258, 260, 279, 280]",0.1561502093769867,0.8438497906230132
7,"[245, 256, 257, 278]",0.2982901541569551,0.701709845843045
8,"[250, 252, 265, 266]",0.06728180056163473,0.9327181994383654
9,"[247, 268, 274, 278]",0.15013800914403624,0.8498619908559638
10,"[245, 257, 259, 260]",0.10075953140386525,0.8992404685961347
11,"[241, 248, 252, 256]",0.14336320735645242,0.8566367926435475
12,"[250, 273, 275, 278]",0.2765299238643961,0.7234700761356039
13,"[245, 247, 266, 279]",0.15082008682803313,0.8491799131719671
14,"[257, 260, 268, 274]",0.20964097204054197,0.790359027959458
15,"[252, 256, 265, 278]",0.24643538837543585,0.7535646116245641
16,"[245, 250, 258, 259]",0.1507174894846918,0.8492825105153082
17,"[247, 266, 275, 278]",0.11501012543231412,0.8849898745676859
18,"[252, 257, 260, 280]",0.15217983654007808,0.847820163459922
19,"[256, 268, 273, 274]",0.2536360700333343,0.7463639299666657
20,"[245, 250, 278, 279]",0.25000276885627404,0.749997231143726
21,"[247, 252, 265, 266]",0.0744470463062317,0.9255529536937683
22,"[257, 259, 260, 275]",0.20011408754127435,0.7998859124587255
23,"[241, 245, 256, 278]",0.14190420939056955,0.8580957906094305
24,"[250, 268, 274, 280]",0.20199690370482135,0.7980030962951787
25,"[247, 252, 258, 266]",0.12041748963554444,0.8795825103644554
26,"[257, 260, 273, 278]",0.21239528953704725,0.7876047104629528
27,"[245, 256, 275, 279]",0.24867921406049298,0.751320785939507
28,"[250, 252, 259, 265]",0.15217626894312075,0.8478237310568792
29,"[247, 268, 274, 278]",0.2648977205303969,0.7351022794696032
30,"[257, 260, 266, 280]",0.2007116193872009,0.799288380612799
31,"[241, 245, 252, 256]",0.14323975885242288,0.8567602411475772
32,"[250, 273, 275, 278]",0.15012610633728837,0.8498738936627117
33,"[247, 257, 274, 279]",0.06180706392145052,0.9381929360785495
34,"[259, 260, 266, 268]",0.18049275598659847,0.8195072440134016
35,"[245, 258, 265, 278]",0.341128678710782,0.658871321289218
36,"[247, 250, 257, 280]",0.10003961817802498,0.899960381821975
37,"[260, 274, 275, 278]",0.05017741492195134,0.9498225850780486
38,"[245, 248, 252, 266]",0.06769179954463198,0.932308200455368
39,"[241, 256, 268, 273]",0.20298693931561967,0.7970130606843803
40,"[250, 257, 278, 279]",0.300002923842939,0.6999970761570611
