round,maintained_units,avg_risk,avg_survival_prob
1,"[243, 249, 253, 275]",0.0040311953086695496,0.9959688046913305
2,"[247, 252, 256, 280]",0.28591005355588883,0.7140899464441113
3,"[249, 255, 259, 277]",0.15004865246424673,0.8499513475357533
4,"[250, 253, 260, 270]",0.13840381387835227,0.8615961861216477
5,"[247, 252, 272, 278]",0.10099142093973437,0.8990085790602655
6,"[249, 256, 266, 279]",0.29527599292648177,0.7047240070735181
7,"[241, 251, 275, 280]",0.20173519696795122,0.7982648030320487
8,"[247, 249, 252, 253]",0.1001081543495467,0.8998918456504533
9,"[250, 255, 260, 270]",0.14684458682572968,0.8531554131742703
10,"[249, 256, 266, 272]",0.10004727919290894,0.899952720807091
11,"[243, 252, 277, 278]",0.18043978259950968,0.8195602174004903
12,"[247, 253, 255, 280]",0.22443550568474033,0.7755644943152596
13,"[249, 250, 266, 275]",0.09229447625721965,0.9077055237427804
14,"[252, 256, 270, 279]",0.17430819164762845,0.8256918083523714
15,"[253, 255, 260, 277]",0.12576393471552644,0.8742360652844734
16,"[243, 247, 249, 272]",0.2003879216886444,0.7996120783113556
17,"[252, 266, 278, 280]",0.2291346557337072,0.7708653442662928
18,"[250, 253, 255, 256]",0.148571998146528,0.851428001853472
19,"[249, 270, 275, 277]",0.16941006955226146,0.8305899304477385
20,"[247, 252, 260, 266]",0.10156997144886284,0.8984300285511372
21,"[243, 249, 253, 255]",0.09859163899185601,0.9014083610081439
22,"[241, 256, 272, 280]",0.20192761960545388,0.7980723803945461
23,"[250, 252, 278, 279]",0.22725021758757896,0.772749782412421
24,"[247, 249, 266, 270]",0.24854574062819607,0.751454259371804
25,"[251, 253, 260, 275]",0.09409041505737116,0.9059095849426289
26,"[243, 249, 252, 256]",0.15002650632584688,0.8499734936741531
27,"[241, 255, 277, 280]",0.15165531812290772,0.8483446818770922
28,"[247, 250, 266, 272]",0.20329754054941146,0.7967024594505885
29,"[249, 252, 253, 270]",0.24999868226376182,0.7500013177362381
30,"[243, 255, 256, 260]",0.09679151147299349,0.9032084885270064
31,"[259, 275, 277, 279]",0.09228131365656259,0.9077186863434374
32,"[247, 249, 252, 266]",0.2824060199258752,0.7175939800741247
33,"[250, 253, 255, 272]",0.14529675335014364,0.8547032466498564
34,"[249, 251, 256, 270]",0.10036153912415616,0.8996384608758439
35,"[243, 252, 277, 278]",0.17873954331457273,0.8212604566854272
36,"[247, 255, 260, 266]",0.19857140927950648,0.8014285907204937
37,"[249, 253, 275, 280]",0.22137490353812778,0.7786250964618722
38,"[250, 252, 256, 272]",0.1500210509989212,0.8499789490010787
39,"[255, 270, 277, 279]",0.14531706739963998,0.85468293260036
40,"[243, 247, 249, 266]",0.2032701121382742,0.7967298878617258
