round,maintained_units,avg_risk,avg_survival_prob
1,"[246, 257, 277, 279]",0.0,1.0
2,"[249, 260, 261, 264]",0.2,0.8
3,"[243, 253, 269, 272]",0.3,0.7
4,"[242, 246, 257, 276]",0.15,0.85
5,"[249, 261, 277, 280]",0.2,0.8
6,"[246, 248, 257, 277]",0.05,0.95
7,"[253, 268, 273, 279]",0.15,0.85
8,"[242, 243, 260, 261]",0.35,0.65
9,"[257, 272, 273, 279]",0.1,0.9
10,"[246, 248, 277, 280]",0.2,0.8
11,"[249, 253, 261, 268]",0.2,0.8
12,"[242, 246, 257, 277]",0.1,0.9
13,"[241, 243, 273, 279]",0.1,0.9
14,"[248, 249, 260, 261]",0.25,0.75
15,"[253, 268, 272, 280]",0.25,0.75
16,"[242, 246, 257, 277]",0.15,0.85
17,"[249, 261, 273, 279]",0.1,0.9
18,"[241, 243, 248, 273]",0.15,0.85
19,"[253, 257, 268, 279]",0.15,0.85
20,"[242, 246, 261, 277]",0.4,0.6
21,"[246, 272, 273, 279]",0.05,0.95
22,"[246, 248, 257, 277]",0.1,0.9
23,"[243, 253, 261, 268]",0.3,0.7
24,"[242, 246, 257, 277]",0.05,0.95
25,"[246, 257, 279, 280]",0.05,0.95
26,"[248, 249, 260, 261]",0.25,0.75
27,"[253, 268, 272, 279]",0.15,0.85
28,"[241, 242, 243, 277]",0.25,0.75
29,"[246, 249, 261, 279]",0.15,0.85
30,"[248, 257, 273, 280]",0.15,0.85
31,"[253, 268, 273, 279]",0.1,0.9
32,"[242, 260, 261, 277]",0.3,0.7
33,"[241, 243, 246, 272]",0.25,0.75
34,"[246, 248, 257, 277]",0.05,0.95
35,"[249, 253, 261, 280]",0.25,0.75
36,"[242, 246, 257, 277]",0.05,0.95
37,"[246, 257, 277, 279]",0.0,1.0
38,"[243, 248, 260, 261]",0.35,0.65
39,"[253, 268, 272, 279]",0.15,0.85
40,"[242, 257, 273, 280]",0.2,0.8
