round,maintained_units,avg_risk,avg_survival_prob
1,"[262, 264, 267, 276]",0.0,1.0
2,"[245, 247, 253, 274]",0.4,0.6
3,"[249, 256, 271, 272]",0.2,0.8
4,"[262, 266, 276, 277]",0.1,0.9
5,"[245, 255, 267, 274]",0.35,0.65
6,"[242, 247, 249, 254]",0.25,0.75
7,"[256, 264, 271, 276]",0.15,0.85
8,"[245, 255, 266, 274]",0.3,0.7
9,"[249, 262, 267, 272]",0.2,0.8
10,"[242, 247, 253, 254]",0.3,0.7
11,"[245, 256, 257, 274]",0.3,0.7
12,"[249, 266, 276, 277]",0.2,0.8
13,"[262, 264, 267, 276]",0.1,0.9
14,"[245, 247, 253, 274]",0.4,0.6
15,"[249, 256, 272, 280]",0.3,0.7
16,"[262, 266, 276, 277]",0.1,0.9
17,"[245, 255, 267, 274]",0.25,0.75
18,"[242, 247, 249, 254]",0.25,0.75
19,"[256, 264, 271, 276]",0.15,0.85
20,"[241, 245, 274, 280]",0.4,0.6
21,"[249, 262, 267, 272]",0.2,0.8
22,"[242, 247, 253, 254]",0.2,0.8
23,"[245, 256, 257, 274]",0.3,0.7
24,"[249, 266, 276, 277]",0.2,0.8
25,"[241, 264, 267, 280]",0.2,0.8
26,"[245, 247, 253, 274]",0.45,0.55
27,"[249, 256, 271, 272]",0.2,0.8
28,"[262, 266, 276, 277]",0.1,0.9
29,"[245, 255, 267, 274]",0.25,0.75
30,"[241, 242, 249, 254]",0.35,0.65
31,"[256, 264, 271, 276]",0.15,0.85
32,"[245, 255, 266, 274]",0.3,0.7
33,"[249, 262, 267, 272]",0.2,0.8
34,"[242, 247, 253, 254]",0.2,0.8
35,"[245, 256, 274, 280]",0.4,0.6
36,"[249, 266, 276, 277]",0.2,0.8
37,"[262, 264, 267, 276]",0.1,0.9
38,"[245, 247, 253, 274]",0.4,0.6
39,"[249, 256, 271, 272]",0.2,0.8
40,"[241, 266, 277, 280]",0.2,0.8
