round,maintained_units,avg_risk,avg_survival_prob
1,"[254, 259, 268, 278]",0.0,1.0
2,"[241, 252, 258, 263]",0.3,0.7
3,"[260, 261, 269, 280]",0.25,0.75
4,"[262, 266, 268, 277]",0.2,0.8
5,"[251, 258, 274, 278]",0.2,0.8
6,"[261, 265, 269, 280]",0.25,0.75
7,"[241, 252, 259, 268]",0.15,0.85
8,"[246, 251, 258, 260]",0.35,0.65
9,"[261, 266, 278, 280]",0.3,0.7
10,"[254, 259, 268, 278]",0.1,0.9
11,"[251, 258, 262, 274]",0.2,0.8
12,"[241, 261, 277, 280]",0.35,0.65
13,"[241, 259, 260, 268]",0.1,0.9
14,"[258, 263, 266, 274]",0.3,0.7
15,"[261, 265, 269, 280]",0.25,0.75
16,"[241, 259, 268, 277]",0.1,0.9
17,"[246, 251, 252, 258]",0.25,0.75
18,"[261, 262, 278, 280]",0.35,0.65
19,"[254, 266, 268, 278]",0.15,0.85
20,"[258, 263, 274, 277]",0.25,0.75
21,"[241, 261, 269, 280]",0.25,0.75
22,"[241, 252, 259, 268]",0.1,0.9
23,"[251, 258, 260, 274]",0.25,0.75
24,"[261, 265, 266, 280]",0.35,0.65
25,"[259, 262, 268, 278]",0.1,0.9
26,"[246, 258, 263, 274]",0.25,0.75
27,"[241, 261, 269, 280]",0.3,0.7
28,"[254, 260, 268, 277]",0.2,0.8
29,"[251, 258, 266, 274]",0.25,0.75
30,"[257, 261, 269, 280]",0.2,0.8
31,"[254, 259, 268, 278]",0.05,0.95
32,"[251, 252, 258, 263]",0.4,0.6
33,"[260, 261, 265, 280]",0.3,0.7
34,"[259, 266, 268, 278]",0.1,0.9
35,"[246, 251, 258, 274]",0.2,0.8
36,"[261, 269, 277, 280]",0.25,0.75
37,"[241, 252, 259, 268]",0.15,0.85
38,"[251, 258, 260, 263]",0.3,0.7
39,"[261, 262, 266, 280]",0.3,0.7
40,"[241, 254, 268, 277]",0.15,0.85
