round,maintained_units,avg_risk,avg_survival_prob
1,"[262, 267, 271, 276]",0.0,1.0
2,"[242, 257, 275, 279]",0.3,0.7
3,"[251, 252, 268, 278]",0.25,0.75
4,"[250, 260, 271, 276]",0.15,0.85
5,"[241, 254, 257, 263]",0.2,0.8
6,"[245, 264, 268, 275]",0.25,0.75
7,"[242, 267, 271, 278]",0.2,0.8
8,"[250, 252, 257, 262]",0.2,0.8
9,"[241, 260, 268, 274]",0.15,0.85
10,"[245, 264, 271, 275]",0.2,0.8
11,"[257, 263, 276, 278]",0.15,0.85
12,"[242, 250, 268, 274]",0.2,0.8
13,"[252, 267, 271, 276]",0.15,0.85
14,"[245, 257, 260, 275]",0.3,0.7
15,"[262, 268, 274, 278]",0.2,0.8
16,"[241, 250, 271, 276]",0.1,0.9
17,"[242, 257, 263, 276]",0.15,0.85
18,"[245, 252, 268, 275]",0.3,0.7
19,"[260, 267, 271, 278]",0.2,0.8
20,"[241, 250, 257, 276]",0.1,0.9
21,"[262, 268, 271, 274]",0.1,0.9
22,"[242, 245, 264, 275]",0.2,0.8
23,"[252, 257, 263, 278]",0.2,0.8
24,"[260, 268, 271, 274]",0.25,0.75
25,"[241, 262, 267, 276]",0.1,0.9
26,"[245, 257, 264, 275]",0.2,0.8
27,"[242, 268, 271, 274]",0.25,0.75
28,"[241, 250, 252, 276]",0.1,0.9
29,"[257, 260, 263, 276]",0.15,0.85
30,"[245, 268, 271, 275]",0.3,0.7
31,"[241, 267, 276, 278]",0.1,0.9
32,"[242, 250, 257, 262]",0.2,0.8
33,"[252, 268, 271, 274]",0.2,0.8
34,"[245, 260, 264, 275]",0.2,0.8
35,"[257, 263, 276, 278]",0.15,0.85
36,"[241, 268, 271, 274]",0.25,0.75
37,"[242, 262, 267, 276]",0.1,0.9
38,"[245, 252, 257, 275]",0.25,0.75
39,"[260, 268, 271, 278]",0.25,0.75
40,"[241, 250, 271, 276]",0.05,0.95
