round,maintained_units,avg_risk,avg_survival_prob
1,"[268, 272, 273, 278]",0.005645160757591939,0.9943548392424081
2,"[244, 251, 257, 277]",0.23681803477232816,0.7631819652276718
3,"[249, 250, 264, 269]",0.25039459523157703,0.749605404768423
4,"[241, 267, 268, 273]",0.25479936839544637,0.7452006316045536
5,"[246, 257, 272, 278]",0.3101623514759194,0.6898376485240806
6,"[244, 249, 254, 277]",0.30276712165963937,0.6972328783403606
7,"[248, 264, 268, 273]",0.2497742774600374,0.7502257225399626
8,"[249, 251, 257, 272]",0.10677733879602977,0.8932226612039702
9,"[241, 247, 269, 278]",0.21053322050737386,0.7894667794926262
10,"[244, 268, 273, 277]",0.2963470826573597,0.7036529173426402
11,"[248, 249, 257, 264]",0.3065507773623118,0.6934492226376883
12,"[268, 269, 272, 273]",0.09663829902658311,0.9033617009734168
13,"[244, 246, 277, 278]",0.0673843199880305,0.9326156800119694
14,"[241, 249, 251, 257]",0.27963501956514425,0.7203649804348558
15,"[248, 264, 268, 273]",0.3780211634306759,0.6219788365693241
16,"[244, 267, 272, 277]",0.11640300320831834,0.8835969967916817
17,"[249, 251, 257, 278]",0.19969730748558104,0.8003026925144191
18,"[248, 268, 269, 273]",0.16872619798548327,0.8312738020145168
19,"[241, 247, 250, 264]",0.22035358195528323,0.7796464180447168
20,"[244, 249, 272, 277]",0.32387787414422375,0.6761221258557762
21,"[268, 269, 273, 278]",0.21801710100603183,0.7819828989939681
22,"[246, 248, 267, 276]",0.16291712282986273,0.8370828771701373
23,"[249, 250, 257, 264]",0.2730313206202898,0.7269686793797101
24,"[244, 268, 272, 273]",0.44345468485306566,0.5565453151469344
25,"[248, 249, 256, 278]",0.0941830651872538,0.905816934812746
26,"[251, 257, 264, 273]",0.10186132492294178,0.8981386750770582
27,"[244, 250, 268, 269]",0.17036816626340662,0.8296318337365933
28,"[249, 267, 272, 277]",0.22006492892647964,0.7799350710735204
29,"[248, 257, 273, 278]",0.3488178226765134,0.6511821773234865
30,"[256, 264, 268, 269]",0.19654980712447645,0.8034501928755236
31,"[244, 246, 249, 250]",0.20932157832991619,0.7906784216700837
32,"[257, 272, 273, 277]",0.26963691025949466,0.7303630897405055
33,"[248, 254, 268, 278]",0.24907382418480975,0.7509261758151903
34,"[241, 249, 264, 267]",0.26115664406099187,0.7388433559390082
35,"[244, 250, 257, 273]",0.28307409366735475,0.7169259063326452
36,"[268, 269, 272, 277]",0.21656279163042708,0.783437208369573
37,"[248, 249, 264, 278]",0.1522266263762226,0.8477733736237774
38,"[244, 251, 257, 273]",0.17446227396210112,0.8255377260378989
39,"[241, 247, 250, 268]",0.25429368193427965,0.7457063180657204
40,"[246, 267, 272, 277]",0.2964092507807182,0.7035907492192818
