unit_id,threshold,num_windows,first_cycle,last_cycle,last_true_rul,last_decision_rul,true_cross_exists,pred_cross_exists,true_cross_cycle,pred_cross_cycle,true_cross_rul,pred_cross_rul,pred_cross_true_rul,action,action_cycle,action_true_rul,action_pred_rul,preventive_action,protected_danger,failure_event,unnecessary_maintenance,early_lead,maintenance_cost,failure_cost,total_cost,run_dir
2,5.0,287,1,287,0.0,3.4413974285125732,1,1,282,278.0,5.0,4.6590895652771,9.0,preventive,278,9.0,4.6590895652771,1,1,0,1,4.0,1.2,0.0,1.2,seed_123
4,5.0,189,1,189,0.0,3.7536017894744873,1,1,184,182.0,5.0,4.5277557373046875,7.0,preventive,182,7.0,4.5277557373046875,1,1,0,1,2.0,1.1,0.0,1.1,seed_123
18,5.0,195,1,195,0.0,1.7782070636749268,1,1,190,187.0,5.0,4.664431571960449,8.0,preventive,187,8.0,4.664431571960449,1,1,0,1,3.0,1.15,0.0,1.15,seed_123
22,5.0,202,1,202,0.0,1.8327558040618896,1,1,197,193.0,5.0,4.676866054534912,9.0,preventive,193,9.0,4.676866054534912,1,1,0,1,4.0,1.2,0.0,1.2,seed_123
24,5.0,147,1,147,0.0,2.227308750152588,1,1,142,143.0,5.0,3.441689968109131,4.0,failure,142,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
32,5.0,191,1,191,0.0,4.504981994628906,1,1,186,189.0,5.0,4.85166072845459,2.0,failure,186,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
38,5.0,194,1,194,0.0,2.7007436752319336,1,1,189,190.0,5.0,3.726172685623169,4.0,failure,189,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
39,5.0,128,1,128,0.0,2.8600878715515137,1,1,123,126.0,5.0,4.868992805480957,2.0,failure,123,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
41,5.0,216,1,216,0.0,3.3249828815460205,1,1,211,211.0,5.0,4.868311405181885,5.0,preventive,211,5.0,4.868311405181885,1,1,0,0,0.0,1.0,0.0,1.0,seed_123
51,5.0,213,1,213,0.0,1.3349940776824951,1,1,208,208.0,5.0,4.212716102600098,5.0,preventive,208,5.0,4.212716102600098,1,1,0,0,0.0,1.0,0.0,1.0,seed_123
54,5.0,257,1,257,0.0,3.1121389865875244,1,1,252,252.0,5.0,4.931303024291992,5.0,preventive,252,5.0,4.931303024291992,1,1,0,0,0.0,1.0,0.0,1.0,seed_123
66,5.0,202,1,202,0.0,3.2256340980529785,1,1,197,197.0,5.0,4.189206123352051,5.0,preventive,197,5.0,4.189206123352051,1,1,0,0,0.0,1.0,0.0,1.0,seed_123
67,5.0,313,1,313,0.0,2.7980153560638428,1,1,308,308.0,5.0,4.596197605133057,5.0,preventive,308,5.0,4.596197605133057,1,1,0,0,0.0,1.0,0.0,1.0,seed_123
72,5.0,213,1,213,0.0,3.5635485649108887,1,1,208,211.0,5.0,4.870249271392822,2.0,failure,208,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
73,5.0,213,1,213,0.0,1.8852678537368774,1,1,208,202.0,5.0,4.903756141662598,11.0,preventive,202,11.0,4.903756141662598,1,1,0,1,6.0,1.3,0.0,1.3,seed_123
80,5.0,185,1,185,0.0,3.1454215049743652,1,1,180,182.0,5.0,3.9208824634552,3.0,failure,180,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
82,5.0,214,1,214,0.0,2.322783946990967,1,1,209,207.0,5.0,3.970862627029419,7.0,preventive,207,7.0,3.970862627029419,1,1,0,1,2.0,1.1,0.0,1.1,seed_123
93,5.0,155,1,155,0.0,3.5599541664123535,1,1,150,152.0,5.0,3.9986557960510254,3.0,failure,150,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
95,5.0,283,1,283,0.0,4.026272773742676,1,1,278,282.0,5.0,4.746325969696045,1.0,failure,278,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
100,5.0,200,1,200,0.0,2.6101863384246826,1,1,195,198.0,5.0,4.648961067199707,2.0,failure,195,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
2,10.0,287,1,287,0.0,3.4413974285125732,1,1,277,271.0,10.0,8.427801132202148,16.0,preventive,271,16.0,8.427801132202148,1,1,0,1,6.0,1.3,0.0,1.3,seed_123
4,10.0,189,1,189,0.0,3.7536017894744873,1,1,179,178.0,10.0,6.772486686706543,11.0,preventive,178,11.0,6.772486686706543,1,1,0,1,1.0,1.05,0.0,1.05,seed_123
18,10.0,195,1,195,0.0,1.7782070636749268,1,1,185,183.0,10.0,7.976424217224121,12.0,preventive,183,12.0,7.976424217224121,1,1,0,1,2.0,1.1,0.0,1.1,seed_123
22,10.0,202,1,202,0.0,1.8327558040618896,1,1,192,189.0,10.0,7.310864448547363,13.0,preventive,189,13.0,7.310864448547363,1,1,0,1,3.0,1.15,0.0,1.15,seed_123
24,10.0,147,1,147,0.0,2.227308750152588,1,1,137,141.0,10.0,9.152972221374512,6.0,failure,137,10.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
32,10.0,191,1,191,0.0,4.504981994628906,1,1,181,179.0,10.0,7.715667724609375,12.0,preventive,179,12.0,7.715667724609375,1,1,0,1,2.0,1.1,0.0,1.1,seed_123
38,10.0,194,1,194,0.0,2.7007436752319336,1,1,184,185.0,10.0,9.25122356414795,9.0,failure,184,10.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
39,10.0,128,1,128,0.0,2.8600878715515137,1,1,118,119.0,10.0,9.397780418395996,9.0,failure,118,10.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
41,10.0,216,1,216,0.0,3.3249828815460205,1,1,206,207.0,10.0,9.90977668762207,9.0,failure,206,10.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
51,10.0,213,1,213,0.0,1.3349940776824951,1,1,203,202.0,10.0,9.076822280883789,11.0,preventive,202,11.0,9.076822280883789,1,1,0,1,1.0,1.05,0.0,1.05,seed_123
54,10.0,257,1,257,0.0,3.1121389865875244,1,1,247,245.0,10.0,9.284955024719238,12.0,preventive,245,12.0,9.284955024719238,1,1,0,1,2.0,1.1,0.0,1.1,seed_123
66,10.0,202,1,202,0.0,3.2256340980529785,1,1,192,190.0,10.0,8.047941207885742,12.0,preventive,190,12.0,8.047941207885742,1,1,0,1,2.0,1.1,0.0,1.1,seed_123
67,10.0,313,1,313,0.0,2.7980153560638428,1,1,303,298.0,10.0,8.428580284118652,15.0,preventive,298,15.0,8.428580284118652,1,1,0,1,5.0,1.25,0.0,1.25,seed_123
72,10.0,213,1,213,0.0,3.5635485649108887,1,1,203,204.0,10.0,9.42094898223877,9.0,failure,203,10.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
73,10.0,213,1,213,0.0,1.8852678537368774,1,1,203,195.0,10.0,8.253470420837402,18.0,preventive,195,18.0,8.253470420837402,1,1,0,1,8.0,1.4,0.0,1.4,seed_123
80,10.0,185,1,185,0.0,3.1454215049743652,1,1,175,177.0,10.0,9.458940505981445,8.0,failure,175,10.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
82,10.0,214,1,214,0.0,2.322783946990967,1,1,204,199.0,10.0,9.921316146850586,15.0,preventive,199,15.0,9.921316146850586,1,1,0,1,5.0,1.25,0.0,1.25,seed_123
93,10.0,155,1,155,0.0,3.5599541664123535,1,1,145,149.0,10.0,8.582118034362793,6.0,failure,145,10.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
95,10.0,283,1,283,0.0,4.026272773742676,1,1,273,272.0,10.0,8.44813346862793,11.0,preventive,272,11.0,8.44813346862793,1,1,0,1,1.0,1.05,0.0,1.05,seed_123
100,10.0,200,1,200,0.0,2.6101863384246826,1,1,190,190.0,10.0,8.60401439666748,10.0,preventive,190,10.0,8.60401439666748,1,1,0,0,0.0,1.0,0.0,1.0,seed_123
2,15.0,287,1,287,0.0,3.4413974285125732,1,1,272,270.0,15.0,12.575407028198242,17.0,preventive,270,17.0,12.575407028198242,1,1,0,1,2.0,1.1,0.0,1.1,seed_123
4,15.0,189,1,189,0.0,3.7536017894744873,1,1,174,173.0,15.0,12.506085395812988,16.0,preventive,173,16.0,12.506085395812988,1,1,0,1,1.0,1.05,0.0,1.05,seed_123
18,15.0,195,1,195,0.0,1.7782070636749268,1,1,180,181.0,15.0,11.306818008422852,14.0,failure,180,15.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
22,15.0,202,1,202,0.0,1.8327558040618896,1,1,187,179.0,15.0,11.196809768676758,23.0,preventive,179,23.0,11.196809768676758,1,1,0,1,8.0,1.4,0.0,1.4,seed_123
24,15.0,147,1,147,0.0,2.227308750152588,1,1,132,136.0,15.0,14.663436889648438,11.0,failure,132,15.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
32,15.0,191,1,191,0.0,4.504981994628906,1,1,176,174.0,15.0,11.067671775817871,17.0,preventive,174,17.0,11.067671775817871,1,1,0,1,2.0,1.1,0.0,1.1,seed_123
38,15.0,194,1,194,0.0,2.7007436752319336,1,1,179,178.0,15.0,14.009679794311523,16.0,preventive,178,16.0,14.009679794311523,1,1,0,1,1.0,1.05,0.0,1.05,seed_123
39,15.0,128,1,128,0.0,2.8600878715515137,1,1,113,118.0,15.0,10.207169532775879,10.0,failure,113,15.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
41,15.0,216,1,216,0.0,3.3249828815460205,1,1,201,203.0,15.0,12.981221199035645,13.0,failure,201,15.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
51,15.0,213,1,213,0.0,1.3349940776824951,1,1,198,196.0,15.0,14.34685230255127,17.0,preventive,196,17.0,14.34685230255127,1,1,0,1,2.0,1.1,0.0,1.1,seed_123
54,15.0,257,1,257,0.0,3.1121389865875244,1,1,242,236.0,15.0,14.883401870727539,21.0,preventive,236,21.0,14.883401870727539,1,1,0,1,6.0,1.3,0.0,1.3,seed_123
66,15.0,202,1,202,0.0,3.2256340980529785,1,1,187,184.0,15.0,14.182687759399414,18.0,preventive,184,18.0,14.182687759399414,1,1,0,1,3.0,1.15,0.0,1.15,seed_123
67,15.0,313,1,313,0.0,2.7980153560638428,1,1,298,294.0,15.0,14.984881401062012,19.0,preventive,294,19.0,14.984881401062012,1,1,0,1,4.0,1.2,0.0,1.2,seed_123
72,15.0,213,1,213,0.0,3.5635485649108887,1,1,198,199.0,15.0,14.829292297363281,14.0,failure,198,15.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
73,15.0,213,1,213,0.0,1.8852678537368774,1,1,198,189.0,15.0,14.610461235046387,24.0,preventive,189,24.0,14.610461235046387,1,1,0,1,9.0,1.45,0.0,1.45,seed_123
80,15.0,185,1,185,0.0,3.1454215049743652,1,1,170,173.0,15.0,13.08209228515625,12.0,failure,170,15.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
82,15.0,214,1,214,0.0,2.322783946990967,1,1,199,197.0,15.0,12.303346633911133,17.0,preventive,197,17.0,12.303346633911133,1,1,0,1,2.0,1.1,0.0,1.1,seed_123
93,15.0,155,1,155,0.0,3.5599541664123535,1,1,140,145.0,15.0,14.555967330932617,10.0,failure,140,15.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
95,15.0,283,1,283,0.0,4.026272773742676,1,1,268,270.0,15.0,10.885833740234375,13.0,failure,268,15.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
100,15.0,200,1,200,0.0,2.6101863384246826,1,1,185,184.0,15.0,13.060447692871094,16.0,preventive,184,16.0,13.060447692871094,1,1,0,1,1.0,1.05,0.0,1.05,seed_123
2,20.0,287,1,287,0.0,3.4413974285125732,1,1,267,265.0,20.0,16.389461517333984,22.0,preventive,265,22.0,16.389461517333984,1,1,0,1,2.0,1.1,0.0,1.1,seed_123
4,20.0,189,1,189,0.0,3.7536017894744873,1,1,169,169.0,20.0,19.320905685424805,20.0,preventive,169,20.0,19.320905685424805,1,1,0,0,0.0,1.0,0.0,1.0,seed_123
18,20.0,195,1,195,0.0,1.7782070636749268,1,1,175,177.0,20.0,19.77377700805664,18.0,failure,175,20.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
22,20.0,202,1,202,0.0,1.8327558040618896,1,1,182,172.0,20.0,18.390806198120117,30.0,preventive,172,30.0,18.390806198120117,1,1,0,1,10.0,1.5,0.0,1.5,seed_123
24,20.0,147,1,147,0.0,2.227308750152588,1,1,127,127.0,20.0,19.3597469329834,20.0,preventive,127,20.0,19.3597469329834,1,1,0,0,0.0,1.0,0.0,1.0,seed_123
32,20.0,191,1,191,0.0,4.504981994628906,1,1,171,167.0,20.0,18.226093292236328,24.0,preventive,167,24.0,18.226093292236328,1,1,0,1,4.0,1.2,0.0,1.2,seed_123
38,20.0,194,1,194,0.0,2.7007436752319336,1,1,174,175.0,20.0,18.171592712402344,19.0,failure,174,20.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
39,20.0,128,1,128,0.0,2.8600878715515137,1,1,108,114.0,20.0,16.503225326538086,14.0,failure,108,20.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
41,20.0,216,1,216,0.0,3.3249828815460205,1,1,196,191.0,20.0,19.21371841430664,25.0,preventive,191,25.0,19.21371841430664,1,1,0,1,5.0,1.25,0.0,1.25,seed_123
51,20.0,213,1,213,0.0,1.3349940776824951,1,1,193,194.0,20.0,18.44865608215332,19.0,failure,193,20.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
54,20.0,257,1,257,0.0,3.1121389865875244,1,1,237,233.0,20.0,19.833341598510742,24.0,preventive,233,24.0,19.833341598510742,1,1,0,1,4.0,1.2,0.0,1.2,seed_123
66,20.0,202,1,202,0.0,3.2256340980529785,1,1,182,180.0,20.0,19.427570343017578,22.0,preventive,180,22.0,19.427570343017578,1,1,0,1,2.0,1.1,0.0,1.1,seed_123
67,20.0,313,1,313,0.0,2.7980153560638428,1,1,293,287.0,20.0,19.56182289123535,26.0,preventive,287,26.0,19.56182289123535,1,1,0,1,6.0,1.3,0.0,1.3,seed_123
72,20.0,213,1,213,0.0,3.5635485649108887,1,1,193,196.0,20.0,17.089366912841797,17.0,failure,193,20.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
73,20.0,213,1,213,0.0,1.8852678537368774,1,1,193,179.0,20.0,19.480907440185547,34.0,preventive,179,34.0,19.480907440185547,1,1,0,1,14.0,1.7000000000000002,0.0,1.7000000000000002,seed_123
80,20.0,185,1,185,0.0,3.1454215049743652,1,1,165,170.0,20.0,18.293704986572266,15.0,failure,165,20.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
82,20.0,214,1,214,0.0,2.322783946990967,1,1,194,195.0,20.0,16.882186889648438,19.0,failure,194,20.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
93,20.0,155,1,155,0.0,3.5599541664123535,1,1,135,138.0,20.0,19.75649642944336,17.0,failure,135,20.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
95,20.0,283,1,283,0.0,4.026272773742676,1,1,263,264.0,20.0,19.650638580322266,19.0,failure,263,20.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
100,20.0,200,1,200,0.0,2.6101863384246826,1,1,180,179.0,20.0,19.151857376098633,21.0,preventive,179,21.0,19.151857376098633,1,1,0,1,1.0,1.05,0.0,1.05,seed_123
2,25.0,287,1,287,0.0,3.4413974285125732,1,1,262,255.0,25.0,23.87596893310547,32.0,preventive,255,32.0,23.87596893310547,1,1,0,1,7.0,1.35,0.0,1.35,seed_123
4,25.0,189,1,189,0.0,3.7536017894744873,1,1,164,163.0,25.0,24.98383903503418,26.0,preventive,163,26.0,24.98383903503418,1,1,0,1,1.0,1.05,0.0,1.05,seed_123
18,25.0,195,1,195,0.0,1.7782070636749268,1,1,170,171.0,25.0,24.61947250366211,24.0,failure,170,25.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
22,25.0,202,1,202,0.0,1.8327558040618896,1,1,177,169.0,25.0,23.663742065429688,33.0,preventive,169,33.0,23.663742065429688,1,1,0,1,8.0,1.4,0.0,1.4,seed_123
24,25.0,147,1,147,0.0,2.227308750152588,1,1,122,127.0,25.0,19.3597469329834,20.0,failure,122,25.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
32,25.0,191,1,191,0.0,4.504981994628906,1,1,166,165.0,25.0,22.527612686157227,26.0,preventive,165,26.0,22.527612686157227,1,1,0,1,1.0,1.05,0.0,1.05,seed_123
38,25.0,194,1,194,0.0,2.7007436752319336,1,1,169,169.0,25.0,22.733413696289062,25.0,preventive,169,25.0,22.733413696289062,1,1,0,0,0.0,1.0,0.0,1.0,seed_123
39,25.0,128,1,128,0.0,2.8600878715515137,1,1,103,113.0,25.0,21.51010513305664,15.0,failure,103,25.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
41,25.0,216,1,216,0.0,3.3249828815460205,1,1,191,190.0,25.0,21.97671890258789,26.0,preventive,190,26.0,21.97671890258789,1,1,0,1,1.0,1.05,0.0,1.05,seed_123
51,25.0,213,1,213,0.0,1.3349940776824951,1,1,188,188.0,25.0,24.930463790893555,25.0,preventive,188,25.0,24.930463790893555,1,1,0,0,0.0,1.0,0.0,1.0,seed_123
