unit_id,threshold,num_windows,first_cycle,last_cycle,last_true_rul,last_decision_rul,true_cross_exists,pred_cross_exists,true_cross_cycle,pred_cross_cycle,true_cross_rul,pred_cross_rul,pred_cross_true_rul,action,action_cycle,action_true_rul,action_pred_rul,preventive_action,protected_danger,failure_event,unnecessary_maintenance,early_lead,maintenance_cost,failure_cost,total_cost,run_dir
2,5.0,287,1,287,0.0,5.141047954559326,1,0,282,,5.0,,,failure,282,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
4,5.0,189,1,189,0.0,2.586578130722046,1,1,184,184.0,5.0,4.608766555786133,5.0,preventive,184,5.0,4.608766555786133,1,1,0,0,0.0,1.0,0.0,1.0,seed_123
18,5.0,195,1,195,0.0,2.0355496406555176,1,1,190,192.0,5.0,3.953691005706787,3.0,failure,190,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
22,5.0,202,1,202,0.0,5.159125804901123,1,0,197,,5.0,,,failure,197,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
24,5.0,147,1,147,0.0,1.2958240509033203,1,1,142,143.0,5.0,4.250881671905518,4.0,failure,142,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
32,5.0,191,1,191,0.0,6.311761856079102,1,0,186,,5.0,,,failure,186,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
38,5.0,194,1,194,0.0,3.7409446239471436,1,1,189,193.0,5.0,4.297121047973633,1.0,failure,189,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
39,5.0,128,1,128,0.0,6.080371856689453,1,0,123,,5.0,,,failure,123,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
41,5.0,216,1,216,0.0,3.161769390106201,1,1,211,213.0,5.0,4.57350492477417,3.0,failure,211,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
51,5.0,213,1,213,0.0,1.4548360109329224,1,1,208,209.0,5.0,4.984476566314697,4.0,failure,208,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
54,5.0,257,1,257,0.0,4.148955345153809,1,1,252,254.0,5.0,4.973814010620117,3.0,failure,252,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
66,5.0,202,1,202,0.0,3.8912529945373535,1,1,197,201.0,5.0,4.566420555114746,1.0,failure,197,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
67,5.0,313,1,313,0.0,5.3121843338012695,1,1,308,310.0,5.0,4.760101795196533,3.0,failure,308,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
72,5.0,213,1,213,0.0,9.065573692321777,1,0,208,,5.0,,,failure,208,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
73,5.0,213,1,213,0.0,4.7407307624816895,1,1,208,213.0,5.0,4.7407307624816895,0.0,failure,208,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
80,5.0,185,1,185,0.0,3.8522274494171143,1,1,180,183.0,5.0,4.770730972290039,2.0,failure,180,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
82,5.0,214,1,214,0.0,2.3641417026519775,1,1,209,209.0,5.0,4.249716281890869,5.0,preventive,209,5.0,4.249716281890869,1,1,0,0,0.0,1.0,0.0,1.0,seed_123
93,5.0,155,1,155,0.0,2.11312198638916,1,1,150,151.0,5.0,4.16428804397583,4.0,failure,150,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123
