round,maintained_units,avg_risk,avg_survival_prob
1,"[254, 262, 267, 276]",0.05,0.95
2,"[245, 247, 253, 274]",0.4,0.6
3,"[242, 249, 264, 277]",0.25,0.75
4,"[256, 267, 276, 277]",0.05,0.95
5,"[255, 257, 266, 274]",0.3,0.7
6,"[245, 249, 253, 280]",0.25,0.75
7,"[247, 262, 264, 267]",0.1,0.9
8,"[242, 257, 271, 274]",0.3,0.7
9,"[249, 256, 277, 280]",0.15,0.85
10,"[245, 253, 254, 266]",0.3,0.7
11,"[255, 257, 264, 274]",0.25,0.75
12,"[247, 249, 276, 280]",0.2,0.8
13,"[242, 267, 276, 277]",0.15,0.85
14,"[245, 253, 256, 272]",0.45,0.55
15,"[249, 264, 266, 280]",0.25,0.75
16,"[262, 264, 267, 276]",0.0,1.0
17,"[247, 255, 257, 274]",0.3,0.7
18,"[242, 245, 249, 253]",0.3,0.7
19,"[254, 256, 276, 277]",0.1,0.9
20,"[255, 264, 266, 274]",0.35,0.65
21,"[249, 267, 277, 280]",0.1,0.9
22,"[245, 247, 253, 272]",0.2,0.8
23,"[242, 257, 271, 274]",0.3,0.7
24,"[249, 256, 264, 280]",0.2,0.8
25,"[241, 266, 276, 277]",0.15,0.85
26,"[245, 253, 257, 274]",0.35,0.65
27,"[247, 249, 267, 280]",0.2,0.8
28,"[242, 254, 264, 276]",0.15,0.85
29,"[256, 257, 271, 274]",0.3,0.7
30,"[245, 249, 253, 280]",0.4,0.6
31,"[262, 264, 267, 276]",0.0,1.0
32,"[247, 255, 257, 274]",0.25,0.75
33,"[242, 249, 277, 280]",0.2,0.8
34,"[245, 253, 256, 272]",0.2,0.8
35,"[255, 264, 266, 274]",0.35,0.65
36,"[249, 267, 277, 280]",0.1,0.9
37,"[247, 254, 262, 267]",0.1,0.9
38,"[245, 253, 272, 274]",0.4,0.6
39,"[256, 264, 276, 280]",0.25,0.75
40,"[241, 266, 276, 277]",0.15,0.85
