round,maintained_units,avg_risk,avg_survival_prob
1,"[243, 252, 253, 267]",0.0,1.0
2,"[245, 255, 264, 278]",0.25,0.75
3,"[246, 249, 269, 280]",0.3,0.7
4,"[253, 256, 267, 271]",0.2,0.8
5,"[245, 252, 255, 278]",0.15,0.85
6,"[243, 264, 270, 279]",0.25,0.75
7,"[241, 244, 248, 267]",0.25,0.75
8,"[249, 255, 262, 278]",0.25,0.75
9,"[245, 252, 269, 271]",0.3,0.7
10,"[253, 264, 267, 270]",0.2,0.8
11,"[241, 243, 255, 278]",0.2,0.8
12,"[244, 245, 256, 269]",0.15,0.85
13,"[249, 252, 262, 267]",0.3,0.7
14,"[255, 264, 271, 278]",0.25,0.75
15,"[241, 246, 269, 280]",0.2,0.8
16,"[243, 245, 248, 267]",0.3,0.7
17,"[244, 252, 255, 278]",0.2,0.8
18,"[249, 262, 264, 270]",0.25,0.75
19,"[241, 253, 267, 271]",0.2,0.8
20,"[255, 256, 278, 279]",0.25,0.75
21,"[243, 246, 252, 269]",0.25,0.75
22,"[244, 253, 264, 267]",0.25,0.75
23,"[249, 255, 262, 278]",0.25,0.75
24,"[245, 256, 269, 271]",0.2,0.8
25,"[248, 252, 253, 267]",0.2,0.8
26,"[243, 255, 264, 278]",0.25,0.75
27,"[241, 246, 269, 280]",0.3,0.7
28,"[249, 256, 262, 267]",0.3,0.7
29,"[252, 255, 271, 278]",0.2,0.8
30,"[246, 264, 269, 270]",0.15,0.85
31,"[241, 243, 253, 267]",0.2,0.8
32,"[244, 245, 255, 278]",0.25,0.75
33,"[249, 252, 262, 269]",0.25,0.75
34,"[248, 264, 267, 271]",0.35,0.65
35,"[241, 252, 255, 278]",0.15,0.85
36,"[243, 245, 246, 269]",0.25,0.75
37,"[244, 252, 253, 267]",0.15,0.85
38,"[255, 262, 264, 278]",0.3,0.7
39,"[241, 269, 271, 280]",0.2,0.8
40,"[245, 253, 256, 267]",0.2,0.8
