round,maintained_units,avg_risk,avg_survival_prob
1,"[252, 257, 268, 279]",0.05,0.95
2,"[250, 265, 275, 278]",0.3,0.7
3,"[241, 248, 257, 268]",0.1,0.9
4,"[245, 259, 266, 274]",0.25,0.75
5,"[252, 257, 273, 278]",0.15,0.85
6,"[247, 250, 260, 280]",0.2,0.8
7,"[241, 258, 268, 275]",0.15,0.85
8,"[245, 256, 278, 279]",0.2,0.8
9,"[252, 257, 265, 266]",0.25,0.75
10,"[247, 250, 259, 260]",0.2,0.8
11,"[241, 257, 268, 278]",0.1,0.9
12,"[245, 248, 273, 275]",0.3,0.7
13,"[252, 257, 268, 279]",0.05,0.95
14,"[250, 266, 274, 278]",0.3,0.7
15,"[241, 257, 260, 279]",0.05,0.95
16,"[245, 256, 259, 265]",0.2,0.8
17,"[252, 258, 275, 278]",0.2,0.8
18,"[247, 250, 268, 280]",0.2,0.8
19,"[241, 257, 260, 266]",0.3,0.7
20,"[245, 256, 257, 278]",0.15,0.85
21,"[248, 252, 257, 268]",0.1,0.9
22,"[247, 250, 275, 279]",0.25,0.75
23,"[241, 260, 265, 278]",0.2,0.8
24,"[245, 266, 274, 280]",0.25,0.75
25,"[252, 257, 268, 279]",0.1,0.9
26,"[247, 250, 273, 278]",0.2,0.8
27,"[241, 258, 260, 275]",0.2,0.8
28,"[245, 256, 257, 259]",0.15,0.85
29,"[252, 266, 274, 278]",0.2,0.8
30,"[247, 250, 265, 268]",0.3,0.7
31,"[241, 257, 260, 279]",0.1,0.9
32,"[245, 256, 275, 278]",0.2,0.8
33,"[252, 257, 268, 273]",0.1,0.9
34,"[247, 250, 266, 274]",0.25,0.75
35,"[241, 257, 260, 278]",0.15,0.85
36,"[245, 256, 257, 280]",0.15,0.85
37,"[252, 258, 265, 275]",0.2,0.8
38,"[250, 268, 278, 279]",0.25,0.75
39,"[241, 248, 266, 274]",0.25,0.75
40,"[245, 257, 259, 273]",0.25,0.75
