round,maintained_units,avg_risk,avg_survival_prob
1,"[250, 251, 274, 278]",0.0,1.0
2,"[260, 261, 263, 269]",0.2,0.8
3,"[255, 264, 266, 273]",0.4,0.6
4,"[251, 265, 274, 276]",0.15,0.85
5,"[250, 261, 269, 280]",0.25,0.75
6,"[249, 255, 268, 273]",0.2,0.8
7,"[248, 251, 260, 274]",0.25,0.75
8,"[263, 266, 269, 280]",0.25,0.75
9,"[250, 255, 268, 273]",0.35,0.65
10,"[250, 251, 274, 278]",0.1,0.9
11,"[248, 264, 269, 280]",0.25,0.75
12,"[249, 260, 268, 273]",0.25,0.75
13,"[251, 265, 266, 274]",0.2,0.8
14,"[250, 263, 269, 280]",0.3,0.7
15,"[248, 264, 268, 273]",0.3,0.7
16,"[243, 251, 274, 279]",0.15,0.85
17,"[260, 261, 269, 280]",0.2,0.8
18,"[250, 255, 266, 273]",0.35,0.65
19,"[248, 251, 264, 274]",0.2,0.8
20,"[261, 263, 269, 280]",0.2,0.8
21,"[249, 255, 268, 273]",0.2,0.8
22,"[250, 251, 274, 278]",0.3,0.7
23,"[264, 266, 269, 280]",0.35,0.65
24,"[249, 255, 268, 273]",0.2,0.8
25,"[250, 251, 274, 278]",0.1,0.9
26,"[261, 263, 269, 280]",0.2,0.8
27,"[248, 260, 264, 273]",0.35,0.65
28,"[251, 266, 274, 279]",0.15,0.85
29,"[250, 261, 269, 280]",0.25,0.75
30,"[243, 249, 268, 273]",0.25,0.75
31,"[248, 251, 264, 274]",0.25,0.75
32,"[260, 263, 269, 280]",0.25,0.75
33,"[250, 255, 266, 273]",0.35,0.65
34,"[250, 251, 274, 278]",0.1,0.9
35,"[248, 264, 269, 280]",0.25,0.75
36,"[249, 255, 268, 273]",0.2,0.8
37,"[243, 251, 260, 274]",0.2,0.8
38,"[250, 263, 266, 280]",0.35,0.65
39,"[248, 264, 268, 273]",0.3,0.7
40,"[251, 265, 274, 276]",0.15,0.85
