round,maintained_units,avg_risk,avg_survival_prob
1,"[242, 244, 266, 280]",0.0,1.0
2,"[246, 249, 255, 271]",0.3,0.7
3,"[250, 254, 257, 279]",0.25,0.75
4,"[247, 253, 266, 280]",0.1,0.9
5,"[244, 249, 267, 274]",0.35,0.65
6,"[242, 257, 262, 266]",0.15,0.85
7,"[241, 248, 250, 280]",0.2,0.8
8,"[249, 253, 271, 274]",0.25,0.75
9,"[244, 247, 257, 266]",0.15,0.85
10,"[247, 256, 266, 280]",0.1,0.9
11,"[242, 246, 250, 271]",0.45,0.55
12,"[241, 253, 254, 257]",0.2,0.8
13,"[244, 262, 266, 280]",0.15,0.85
14,"[249, 255, 271, 274]",0.2,0.8
15,"[247, 250, 256, 257]",0.25,0.75
16,"[242, 253, 266, 280]",0.15,0.85
17,"[241, 249, 267, 274]",0.35,0.65
18,"[242, 257, 266, 280]",0.05,0.95
19,"[247, 248, 250, 266]",0.1,0.9
20,"[246, 255, 256, 271]",0.4,0.6
21,"[244, 254, 257, 280]",0.2,0.8
22,"[241, 242, 247, 266]",0.05,0.95
23,"[248, 249, 267, 274]",0.35,0.65
24,"[253, 257, 266, 280]",0.15,0.85
25,"[244, 247, 256, 266]",0.1,0.9
26,"[249, 255, 271, 274]",0.2,0.8
27,"[241, 242, 248, 250]",0.35,0.65
28,"[242, 247, 253, 266]",0.05,0.95
29,"[244, 246, 249, 271]",0.35,0.65
30,"[254, 256, 257, 280]",0.2,0.8
31,"[247, 248, 250, 266]",0.1,0.9
32,"[241, 249, 253, 274]",0.3,0.7
33,"[242, 244, 257, 280]",0.2,0.8
34,"[242, 247, 262, 266]",0.05,0.95
35,"[248, 249, 267, 274]",0.4,0.6
36,"[253, 257, 266, 280]",0.15,0.85
37,"[241, 244, 247, 266]",0.1,0.9
38,"[246, 249, 255, 271]",0.25,0.75
39,"[242, 248, 250, 254]",0.3,0.7
40,"[247, 253, 256, 266]",0.1,0.9
