round,maintained_units,avg_risk,avg_survival_prob
1,"[243, 252, 264, 278]",0.0,1.0
2,"[254, 261, 263, 275]",0.3,0.7
3,"[246, 255, 257, 269]",0.2,0.8
4,"[252, 258, 272, 278]",0.15,0.85
5,"[245, 250, 261, 278]",0.15,0.85
6,"[243, 255, 257, 263]",0.25,0.75
7,"[241, 264, 267, 280]",0.35,0.65
8,"[245, 252, 261, 275]",0.15,0.85
9,"[255, 257, 258, 269]",0.2,0.8
10,"[250, 254, 263, 272]",0.2,0.8
11,"[243, 252, 261, 278]",0.35,0.65
12,"[255, 257, 270, 280]",0.25,0.75
13,"[243, 252, 264, 278]",0.05,0.95
14,"[254, 258, 263, 275]",0.3,0.7
15,"[250, 255, 257, 267]",0.3,0.7
16,"[252, 264, 272, 278]",0.1,0.9
17,"[241, 261, 270, 280]",0.25,0.75
18,"[243, 255, 257, 263]",0.25,0.75
19,"[246, 252, 258, 267]",0.2,0.8
20,"[245, 250, 261, 275]",0.2,0.8
21,"[255, 257, 269, 278]",0.15,0.85
22,"[254, 263, 264, 272]",0.4,0.6
23,"[243, 245, 261, 267]",0.25,0.75
24,"[255, 257, 258, 278]",0.15,0.85
25,"[246, 250, 252, 278]",0.1,0.9
26,"[254, 261, 263, 275]",0.25,0.75
27,"[255, 257, 267, 280]",0.35,0.65
28,"[243, 252, 264, 272]",0.2,0.8
29,"[245, 246, 258, 261]",0.2,0.8
30,"[250, 255, 257, 263]",0.25,0.75
31,"[250, 252, 267, 278]",0.15,0.85
32,"[241, 261, 275, 280]",0.3,0.7
33,"[243, 255, 257, 269]",0.25,0.75
34,"[258, 263, 264, 272]",0.3,0.7
35,"[245, 252, 261, 267]",0.15,0.85
36,"[250, 255, 257, 278]",0.15,0.85
37,"[241, 246, 270, 280]",0.2,0.8
38,"[243, 254, 263, 275]",0.35,0.65
39,"[255, 257, 258, 267]",0.25,0.75
40,"[252, 264, 272, 278]",0.1,0.9
