unit_id,threshold,num_windows,first_cycle,last_cycle,last_true_rul,last_decision_rul,true_cross_exists,pred_cross_exists,true_cross_cycle,pred_cross_cycle,true_cross_rul,pred_cross_rul,pred_cross_true_rul,action,action_cycle,action_true_rul,action_pred_rul,preventive_action,protected_danger,failure_event,unnecessary_maintenance,early_lead,maintenance_cost,failure_cost,total_cost,run_dir
2,5.0,287,1,287,0.0,5.197025299072266,1,1,282,281.0,5.0,4.356112957000732,6.0,preventive,281,6.0,4.356112957000732,1,1,0,1,1.0,1.05,0.0,1.05,seed_123_a_0.04
4,5.0,189,1,189,0.0,6.198808193206787,1,0,184,,5.0,,,failure,184,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123_a_0.04
18,5.0,195,1,195,0.0,5.051207065582275,1,1,190,190.0,5.0,4.898312568664551,5.0,preventive,190,5.0,4.898312568664551,1,1,0,0,0.0,1.0,0.0,1.0,seed_123_a_0.04
22,5.0,202,1,202,0.0,5.13314962387085,1,0,197,,5.0,,,failure,197,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123_a_0.04
24,5.0,147,1,147,0.0,3.1632211208343506,1,1,142,143.0,5.0,3.937795639038086,4.0,failure,142,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123_a_0.04
32,5.0,191,1,191,0.0,4.06658411026001,1,1,186,191.0,5.0,4.06658411026001,0.0,failure,186,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123_a_0.04
38,5.0,194,1,194,0.0,6.410910606384277,1,1,189,190.0,5.0,4.953773021697998,4.0,failure,189,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123_a_0.04
39,5.0,128,1,128,0.0,3.9022469520568848,1,1,123,128.0,5.0,3.9022469520568848,0.0,failure,123,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123_a_0.04
41,5.0,216,1,216,0.0,7.124955654144287,1,1,211,212.0,5.0,4.880309581756592,4.0,failure,211,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123_a_0.04
51,5.0,213,1,213,0.0,3.9013495445251465,1,1,208,210.0,5.0,4.804739475250244,3.0,failure,208,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123_a_0.04
54,5.0,257,1,257,0.0,4.107542991638184,1,1,252,253.0,5.0,4.822601795196533,4.0,failure,252,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123_a_0.04
66,5.0,202,1,202,0.0,6.057210922241211,1,1,197,198.0,5.0,4.850821495056152,4.0,failure,197,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123_a_0.04
67,5.0,313,1,313,0.0,5.777041435241699,1,0,308,,5.0,,,failure,308,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123_a_0.04
72,5.0,213,1,213,0.0,3.2503833770751953,1,1,208,213.0,5.0,3.2503833770751953,0.0,failure,208,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123_a_0.04
73,5.0,213,1,213,0.0,4.374186038970947,1,1,208,205.0,5.0,4.691248893737793,8.0,preventive,205,8.0,4.691248893737793,1,1,0,1,3.0,1.15,0.0,1.15,seed_123_a_0.04
80,5.0,185,1,185,0.0,5.076035022735596,1,1,180,183.0,5.0,4.948422431945801,2.0,failure,180,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123_a_0.04
82,5.0,214,1,214,0.0,4.514172554016113,1,1,209,212.0,5.0,4.397740364074707,2.0,failure,209,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123_a_0.04
93,5.0,155,1,155,0.0,5.0684733390808105,1,1,150,151.0,5.0,4.069203853607178,4.0,failure,150,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123_a_0.04
95,5.0,283,1,283,0.0,4.877046585083008,1,1,278,283.0,5.0,4.877046585083008,0.0,failure,278,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123_a_0.04
100,5.0,200,1,200,0.0,5.109248161315918,1,0,195,,5.0,,,failure,195,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123_a_0.04
2,10.0,287,1,287,0.0,5.197025299072266,1,1,277,271.0,10.0,8.099393844604492,16.0,preventive,271,16.0,8.099393844604492,1,1,0,1,6.0,1.3,0.0,1.3,seed_123_a_0.04
4,10.0,189,1,189,0.0,6.198808193206787,1,1,179,176.0,10.0,7.650633335113525,13.0,preventive,176,13.0,7.650633335113525,1,1,0,1,3.0,1.15,0.0,1.15,seed_123_a_0.04
18,10.0,195,1,195,0.0,5.051207065582275,1,1,185,184.0,10.0,9.686233520507812,11.0,preventive,184,11.0,9.686233520507812,1,1,0,1,1.0,1.05,0.0,1.05,seed_123_a_0.04
22,10.0,202,1,202,0.0,5.13314962387085,1,1,192,185.0,10.0,9.158207893371582,17.0,preventive,185,17.0,9.158207893371582,1,1,0,1,7.0,1.35,0.0,1.35,seed_123_a_0.04
24,10.0,147,1,147,0.0,3.1632211208343506,1,1,137,137.0,10.0,9.882492065429688,10.0,preventive,137,10.0,9.882492065429688,1,1,0,0,0.0,1.0,0.0,1.0,seed_123_a_0.04
32,10.0,191,1,191,0.0,4.06658411026001,1,1,181,176.0,10.0,9.118234634399414,15.0,preventive,176,15.0,9.118234634399414,1,1,0,1,5.0,1.25,0.0,1.25,seed_123_a_0.04
38,10.0,194,1,194,0.0,6.410910606384277,1,1,184,185.0,10.0,7.392874717712402,9.0,failure,184,10.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123_a_0.04
39,10.0,128,1,128,0.0,3.9022469520568848,1,1,118,120.0,10.0,6.5359649658203125,8.0,failure,118,10.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123_a_0.04
41,10.0,216,1,216,0.0,7.124955654144287,1,1,206,205.0,10.0,8.572237014770508,11.0,preventive,205,11.0,8.572237014770508,1,1,0,1,1.0,1.05,0.0,1.05,seed_123_a_0.04
51,10.0,213,1,213,0.0,3.9013495445251465,1,1,203,201.0,10.0,9.994739532470703,12.0,preventive,201,12.0,9.994739532470703,1,1,0,1,2.0,1.1,0.0,1.1,seed_123_a_0.04
54,10.0,257,1,257,0.0,4.107542991638184,1,1,247,245.0,10.0,8.622050285339355,12.0,preventive,245,12.0,8.622050285339355,1,1,0,1,2.0,1.1,0.0,1.1,seed_123_a_0.04
66,10.0,202,1,202,0.0,6.057210922241211,1,1,192,190.0,10.0,7.84441614151001,12.0,preventive,190,12.0,7.84441614151001,1,1,0,1,2.0,1.1,0.0,1.1,seed_123_a_0.04
67,10.0,313,1,313,0.0,5.777041435241699,1,1,303,297.0,10.0,9.150949478149414,16.0,preventive,297,16.0,9.150949478149414,1,1,0,1,6.0,1.3,0.0,1.3,seed_123_a_0.04
72,10.0,213,1,213,0.0,3.2503833770751953,1,1,203,204.0,10.0,8.289770126342773,9.0,failure,203,10.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123_a_0.04
73,10.0,213,1,213,0.0,4.374186038970947,1,1,203,195.0,10.0,8.809042930603027,18.0,preventive,195,18.0,8.809042930603027,1,1,0,1,8.0,1.4,0.0,1.4,seed_123_a_0.04
80,10.0,185,1,185,0.0,5.076035022735596,1,1,175,176.0,10.0,9.83856201171875,9.0,failure,175,10.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123_a_0.04
82,10.0,214,1,214,0.0,4.514172554016113,1,1,204,200.0,10.0,9.534147262573242,14.0,preventive,200,14.0,9.534147262573242,1,1,0,1,4.0,1.2,0.0,1.2,seed_123_a_0.04
93,10.0,155,1,155,0.0,5.0684733390808105,1,1,145,147.0,10.0,8.91335678100586,8.0,failure,145,10.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123_a_0.04
95,10.0,283,1,283,0.0,4.877046585083008,1,1,273,271.0,10.0,9.451066970825195,12.0,preventive,271,12.0,9.451066970825195,1,1,0,1,2.0,1.1,0.0,1.1,seed_123_a_0.04
100,10.0,200,1,200,0.0,5.109248161315918,1,1,190,190.0,10.0,8.221565246582031,10.0,preventive,190,10.0,8.221565246582031,1,1,0,0,0.0,1.0,0.0,1.0,seed_123_a_0.04
2,15.0,287,1,287,0.0,5.197025299072266,1,1,272,266.0,15.0,14.92277717590332,21.0,preventive,266,21.0,14.92277717590332,1,1,0,1,6.0,1.3,0.0,1.3,seed_123_a_0.04
4,15.0,189,1,189,0.0,6.198808193206787,1,1,174,173.0,15.0,14.216415405273438,16.0,preventive,173,16.0,14.216415405273438,1,1,0,1,1.0,1.05,0.0,1.05,seed_123_a_0.04
18,15.0,195,1,195,0.0,5.051207065582275,1,1,180,181.0,15.0,11.533883094787598,14.0,failure,180,15.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123_a_0.04
22,15.0,202,1,202,0.0,5.13314962387085,1,1,187,180.0,15.0,12.566232681274414,22.0,preventive,180,22.0,12.566232681274414,1,1,0,1,7.0,1.35,0.0,1.35,seed_123_a_0.04
24,15.0,147,1,147,0.0,3.1632211208343506,1,1,132,135.0,15.0,14.385108947753906,12.0,failure,132,15.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123_a_0.04
32,15.0,191,1,191,0.0,4.06658411026001,1,1,176,173.0,15.0,13.743634223937988,18.0,preventive,173,18.0,13.743634223937988,1,1,0,1,3.0,1.15,0.0,1.15,seed_123_a_0.04
