round,maintained_units,avg_risk,avg_survival_prob
1,"[246, 255, 271, 277]",0.0,1.0
2,"[242, 252, 253, 275]",0.2,0.8
3,"[241, 261, 273, 280]",0.2,0.8
4,"[243, 249, 260, 266]",0.25,0.75
5,"[242, 251, 253, 277]",0.2,0.8
6,"[252, 259, 261, 271]",0.2,0.8
7,"[241, 246, 265, 275]",0.25,0.75
8,"[242, 246, 253, 260]",0.15,0.85
9,"[243, 266, 277, 280]",0.35,0.65
10,"[246, 252, 255, 273]",0.15,0.85
11,"[241, 242, 253, 271]",0.25,0.75
12,"[259, 260, 261, 275]",0.2,0.8
13,"[246, 255, 271, 277]",0.1,0.9
14,"[249, 252, 265, 268]",0.4,0.6
15,"[241, 259, 261, 280]",0.15,0.85
16,"[246, 251, 255, 260]",0.1,0.9
17,"[242, 273, 275, 277]",0.25,0.75
18,"[251, 252, 261, 271]",0.15,0.85
19,"[241, 243, 266, 268]",0.3,0.7
20,"[242, 246, 253, 260]",0.15,0.85
21,"[259, 261, 277, 280]",0.25,0.75
22,"[246, 252, 255, 275]",0.15,0.85
23,"[241, 242, 253, 271]",0.2,0.8
24,"[251, 260, 261, 268]",0.4,0.6
25,"[246, 255, 271, 277]",0.1,0.9
26,"[242, 246, 252, 253]",0.15,0.85
27,"[241, 261, 275, 280]",0.25,0.75
28,"[246, 255, 260, 265]",0.15,0.85
29,"[243, 266, 268, 277]",0.35,0.65
30,"[251, 252, 261, 271]",0.2,0.8
31,"[241, 246, 255, 273]",0.15,0.85
32,"[242, 253, 260, 275]",0.2,0.8
33,"[259, 261, 277, 280]",0.2,0.8
34,"[243, 252, 266, 268]",0.3,0.7
35,"[241, 242, 265, 271]",0.25,0.75
36,"[251, 260, 261, 277]",0.15,0.85
37,"[246, 255, 275, 277]",0.15,0.85
38,"[242, 252, 253, 273]",0.2,0.8
39,"[241, 249, 266, 280]",0.4,0.6
40,"[246, 255, 260, 271]",0.15,0.85
